,,,,,,,,,,,,
,,,,,,,,,,,,
lfd. Nr.,"Kasten, Stk",Authentitz,Format,Absender,Empfänger,Datum,Abs.- Ort,GS und Herzfeld,GB,Bemerkungen,,
61,[A050,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1922-01-00,Kassel,"I,2 Nr. 694 ...",,"Dat hdf; zu einer Sternkritik von Hans Ehrenberg;  vgl. GS I,2 Nr. 693",,
62,[B001,hdf P,B,"Rosenzweig,  Franz","Rosenstock-H,  Eugen",1925-02-00,,,,Verm hdf: 1925; im Text: Februar - Übersendung eines Textes,,
63,[B002,K,B,"Rosenzweig,  Franz","Strauß,  Ilse",1920-03-00,,,,"Dat u Empfg: ÜbergL;zum Geburtstag Ilse, noch Hahn? FR schon verheiratet.",,
64,[B003,O ms Korr,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1924-07-00,,"I,2 Nr. 947 ...",,"Dat hdf auf  Rückseite - zittrig: FR?  Über ""Opfer"" u. zu R. Hallo; Kopie in [C38",,
65,[B004,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1929-02-19,,"s. GS III, S.427ff",,"zu  Musik aufsätzen im Kasseler Tagblatt, zu Schicksal u. einem Kolleg in KS 1921",,
66,[B005,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-09-28,,,,"über das ""und"" im Stern; dieser ""ein Palimpsest..von Eugens ungeschrieb. Buch""",,
67,"[B006,01",O,W,"Rosenzweig, Franz","Reichenbach,  Martha",1903-10-05,Meiningen,"I,1 Nr. 8",,"1903-10-05 bis 1904 Gedichte, u.a. I,1 Nr.8 u. ""An Martha R.""; s. GB S. 395 u. 399",,
68,"[B006,02",Abs.ms,W,"Rosenzweig, Franz","Reichenbach,  Martha",1903-10-05,Meiningen,,,"ms-Transskript von [B6,1; hdf Vermerk: ""aus G. O.s Papieren""; s. GB S. 395",,
69,[B007,O ms Korr,B,"Rosenzweig, Franz","Oppenheim,  Gertrud",1924-06-04,,"I,2 Nr. 936 ...",,"Inc. ""...zu verkindschen ..."".  Datum auf Brief; in  GS I,2 Nr. 936 abweichend (?)",,
70,"[B008,01",hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-06-28,,,,"[B8,1 zu Josua u. Richter",,
71,"[B008,02",hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-07-03,,"I,2 1205 ...",,"[B8,2  zu GO's Tochter Marianne als Hilfe im Haus u. zu Rafael",,
72,"[B008,03",hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-07-10,,"I,2 Nr. 1206",,"[B8,3 Erklärung zu einer Übersetzung - Philistergeschichten; Fragment",,
73,"[B008,04",hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-07-31,,,,"[B8,4 zu Fränkel (?)",,
74,[B009,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-10-31,,"I,2 Nr. 1180 ...",,"U.Schrift Edith? Vgl. [B14R; zu Josua; Verweis auf R.-M. Rilke ""Josuas Landgang""",,
75,[B010,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-09-30,,,,"zur Übersetzung Richter-mit Rudis Hilfe ""geglatzert""; Familiäres",,
76,[B011,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-10-16,,"I,2 Nr. 1177 ...",,zur Bedeutung von Namen in den großen Epen. Vgl. Bibel u. Odyssee,,
77,[B012,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-05-25,,"I,2 Nr. 1152 ...",,"zu Bileam; Assoziation zu Kafka (Scloss); gez. Franz u ""Küsschen"" von Rafael",,
78,[B013,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-06-02,,,,zu einzelnen Problemen der Übersetzung,,
79,[B014,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1925-01-28,,"I,2 Nr. 993 ...",,zu Spitteler und Imago(?) Rücks: Gruß Edith,,
80,[B015,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-05-30,,"I,2 Nr. 1154 ...",,"Bileam und bibl. Erzählen; s. auch [B012=I,2 Nr. 1152",,
81,[B016,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1929-09-30,,"I,2 Nr. 1265 ...",,"zu Rafael, Vaterstolz; Leidensäußerung - ""..es wird mühsam ..""",,
82,[B017,O,B,"Rosenzweig, Franz","Strauß, Eduard",1919-09-14,,,,"ÜbergL: Strauß, Eduard; Beginn der Freundschaft.Vgl. [C9!",,
83,[B018,O,B,"Rosenzweig, Franz","Strauß, Eduard",1919-09-23,,,,Dat BrfEnde.; 24.9.1919 in schwarz hdf nachgetragen. Empf:ÜbergL; z Biografie,,
84,[B019,O,B,"Rosenzweig, Franz","Strauß, Eduard",1919-10-27,,,,Empf: ÜbergL; - zu dem Selbstverständlichen,,
85,[B020,O,B,"Rosenzweig, Franz","Strauß, Eduard",1919-10-02,,,,"Empf: ÜbergL; - 1919-10-02 0der 07? Es bilden sich ""Kreise""",,
86,[B021,O,B,"Rosenzweig, Franz","Strauß, Eduard",1920-07-14,,,,Zur Edition des Stern - Datierung jüd./christl.,,
87,[B022,hdf P,B,"Rosenzweig,  Franz","Strauß, Eduard",1925-05-10,,,,"zu ""Bauleute""; Vermerk hd Strauß  (vgl.B23) zu Besprechung dazu (wo?);",,
88,[B023,O,B,"Strauß, Eduard","Hirschland, Dorothee",1943-12-00,NewYork City,,,"BegleitSb.zu Übergabe von Brfen FR, Adele und Edith aus Besitz E. Strauß",,
89,[B024,O,B,"Rosenzweig, Franz","Strauß, Eduard",1919-10-26,,"I,2 Nr. 612",,Empf:ÜbergL; zur Frage Gründung eines eig. jüdischen Verlages,,
90,[B025,O,B,"Rosenzweig, Franz","Strauß, Eduard",1919-11-08,Kassel,,,"Empf: ÜbergL; zu Zionismus, Liberalismus, Assimilation, das Tun",,
91,[B026,O,BK,"Rosenzweig, Franz","Strauß, Eduard",1920-01-00,,,,Empf: ÜbergL; Dat:hdf Januar 1920;zur Verlobung mit Edith Hahn; Zukunft in FfM,,
92,[B027,O,B,"Rosenzweig, Franz","Strauß, Eduard",1919-12-22,,,,"Empf: ÜbergL; zu Eugen Rosenstock und sein ""Jüdischgewesensein""",,
93,[B028,O,B,"Rosenzweig, Franz","Strauß, Eduard",1920-02-15,,,,"Dat auf Brief; zum Vertrag mit Verlg Kauffmann für ""Stern""; "" Teufelei"" ...s. B29",,
94,[B029,O,B,"Rosenzweig, Franz","Strauß, Eduard",1920-02-12,Kassel,,,"zum ""Du""-Sagen; Verlagsverhandlungen; Manöver mit einer offenen Postkarte",,
96,"[B030,01",O,B,"Rosenzweig, Franz","Strauß, Eduard",1920-02-18,,,,"Irritationen wg Verlag f Stern; Bezug: [B30,2",,
95,"[B030,02",O,Telgr,"Rosenstock-H., Eugen","Rosenzweig, Franz",1920-02-17,Stuttgart/Kassel,,,"Telegr aufggb in Stuttgart, 17.2.1920 ;  E. in Kassel 18. 2.; Zu Verlag, s. [B30,1",,
97,[B031,O,B,"Rosenzweig, Franz","Strauß, Eduard",1920-04-04,,,,von der Hochzeit u. Hochzeitsreise i d Solling;das Anfangen in FfM,,
98,[B032,O,B,"Rosenzweig,  Franz","Strauß, Eduard",1920-04-16,,,,Empf:ÜbergL; über erste Probeabzüge  vom Stern; gg Ambition des Verlegers,,
99,[B033,O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1917-00-00,RückS: Eiserne Bl. Nr.41,,,"Empf:ÜbergL;Dat hdf RückS; ü.Freimaurer,Nietzsche,Kant;Arbeit n d Krieg;Fragm?",,
100,"[B034,01",O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1917-00-00,Dat.? Aus dem Krieg.,,,"Empf:ÜbergL;FeldPB auf zwei Formbl.Vor u.RückS.Kop.Stift;Gedk zu Chr., Krieg..",,
101,"[B034,02",O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1917-00-00,Dat? Aus dem Krieg,,,"Empf:ÜbergL; mini-Format. Fragment? Etwas zu Beckerath u. Goldschmidt, Lit.",,
,[B035,O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",,Kassel,,,ohne Dat. AbsdOrt Kassel; Gratulation wozu? Zu einem Werk?,,
103,[B036,O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1921-04-00,,,,"Dat:Antw.auf [R94;zum Verh d Freunde; zu ""Schatten"";zu einem Buch von Eugen;",,
104,[B037,O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1914-06-04,"Berlin, Kgin-Aug.Str. 24",,,"Dat,Absd/Empf:Couvert;z.Hegel;von der Harzwandrg;vgl. [B44 u ""Keimzelle"" [B42",,
105,[B038,O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-00-00,Heidelberg,,,zu Konflikt FR mit Mutter; Eugens Chance b Daimler; HD-Akademie u Hegel,,
106,[B039,O,BK,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-00-00,,,,"zum Werk von Rudi ""Die Schwester"", das Franz erschüttert;krit.zu Hans und Else",,
107,[B040,O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-26,Berlin,,,"Dat,Absd/Empf:Couvert; über Verlobung Hans Ehrenberg mit Else",,
108,[B041,O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1914-06-00,,,,"zu geplanter Harzwanderung; zu Dat vgl. [B37 u.[ [B44 u [B42 ""Keimzelle""",,
109,[B042,O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1917-11-18,,"GS III, S. 125 ff ...",,"""Keimzelle Stern""; ""L.R. ... Dein F""; Siehe [G1,6; erste Gliederung an Rudi.",,
110,[B043,O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-00-00,,,,"zu Eugen Rosenstock, hat Aussicht auf Stelle bei Daimler; zu Vorlesg in Leipzig",,
111,[B044,O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1914-06-06,Berlin,,,zur geplanten Harzwanderung; zur Arbeit am Hegel,,
112,[B045,O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1914-00-00,"Berlin, Papier Kassel!",,,"Dat ÜbergL;vgl. aber [B75; ""..dem jungen Hegel wieder...nahegekommen..""",,
113,[B046,,,,,1913-00-00,,,,"nicht besetzt; jetzt [B47,1",,
114,"[B047,01",O,B,"Rosenzweig, Franz u.a.","Ehrenberg, Rudolf",1913-00-00,,,,FR über Hedi Ehrenberg; dazu Hedi an Rudi; es geht um Umgang  miteinander,,
115,"[B047,02",O,B,N.N.,"Kauffmann, Felix",1919-10-28,,,,"Dat: Verm hdf; Verlagsangelegenheit; Bezugnahme auf ""Freund Dr. R.""",,
116,[B048,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-08-29,,"I,2 Nr. 1172 ...",,"zu Wellhausens Gesch.Werk; zu Bibelübersetzg, hier Pessach-""Übergangsmahl""",,
117,[B049,O,W,"Rosenzweig, Franz",Reichenbach. Martha,1904-08-11,,,,"Verf/Adr ÜbergL(?) ; Gedichte 1904-08-11, 1904-08-27, 1904 -08-18; siehe[B6",,
118,[B050,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1920-08-16,Frankfurt,"I,2 Nr. 636 ...",,"Über Edith, jetzt seine Frau",,
119,"[B051,01",O,B,"Rosenzweig,  Franz","Frank, Leni",1897-03-12,Kassel,,,Dat: Brief; zum Geburtstag der Cousine Leni Frank,,
120,"[B051,02",O,B,"Rosenzweig , Franz u Ad.","Frank, Leni",1892-03-16,Kassel,,,zum Geb. Leni Frank; Dat ÜbergL(?) vgl.Schrift [B63; FR müsste hier älter sein!,,
121,[B052,O,B,"Rosenzweig,  Franz","Frank, Gertrud u. Leni",1900-01-00,,"I,1 Nr. 1",,"Dat:""im 12. Jahr Wilh II""(GS) ;""Epistel an die Kölnerinnen"",  Brf des Vetters!",,
122,[B053,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1920-01-06,Kassel,,,"Empf: Couvert; Mitteilung Verlobung mit Edith Hahn. Vgl. [B50 = GS I,2Nr. 636 ...",,
123,[B054,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-10-03,Berlin,"I,2 Nr. 611",,"Empf: Couvert; zur geplanten Ehe mit Edith und zum ""jüdisch sein""",,
124,[B055,O,B,"Rosenzweig,  Franz","Frank,  Gertrud",1901-01-27,[Kassel,"I,1 Nr. 2 ...",,"Dank für einen Brief; Bericht vom Geigenunterricht; Gelesenes, Gedachtes",,
125,[B056,O,B,"Rosenzweig, Franz","Frank, Gertrud u. Leni",1896-10-12,Kassel,,,"Brief des 10-Jährigen an die Cousinen; ""mittelalterliche"" Sprache",,
126,[B057,O,B,"Rosenzweig, Franz","Frank, Gertrud u. Leni",1902-00-00,Kassel,,,Dat ÜbergL; Erlebnisse aus der Schule u v Schlittenfahren an die Cousinen,,
127,[B058,O,B,"Rosenzweig,  Franz","Frank, Helene",1901-03-12,Kassel,,,"An die Cousine Leni zum 14. Geburtstag; ""laß den Brief nicht offen liegen! """,,
128,[B059,O,B,"Rosenzweig,  Franz","Frank, Gertrud",1901-09-29,[Kassel],"I,1 Nr. 3 ...",,Geburtstagsbrief an die Cousine Trudchen; Es gibt Zeugnisse,,
129,[B060,O,B,"Rosenzweig,  Franz","Frank, Helene",1902-03-12,Kassel,,,An die Cousine Leni zum 15.Geb; Fiktion: Helene zum 12. III. 1977,,
130,[B061,O,B,"Rosenzweig,  Franz","Frank, Gertrud u.Leni",1902-11-00,Kassel,,,Dat: Vermk hdf; G. u L. noch Frank; zur Tanzstunde; zu Schülerleben,,
131,[B062,O,B,"Rosenzweig,  Franz","Frank, Gertrud",1902-09-18,Coblenz a. Rh.,"I,1 Nr. 4 ...",,von einem Ausflug an den Rhein,,
132,[B063,O,B,"Rosenzweig,  Franz u.Gg","Frank, Gertrud",1894-09-29,Kassel,,,"Geburtstagsbrief an die Cousine, 1.Seite Franz, 2. Seite Onkel Georg Rosenzweig",,
133,[B064,O,B,"Rosenzweig, Franz u.Ad.","Frank, Helene",1895-03-12,Kassel,,,"Geburtstagsbrief, aber ""Mutter schreibt""; Adele schreibt Grüße dazu",,
134,[B065,O,B,"Rosenzweig,  Franz","Frank, Gertrud u. Leni",1902-07-11,Scheveningen,,,"Hotelpapier, Beschreibung des Kur- und Strandbetriebes",,
135,[B066,O,B,"Rosenzweig , Franz","Frank, Familie",1902-12-27,[Kassel],"I,1 Nr. 6 ...",,"in GS nur Teil für Trudchen abgedruckt, Brief aber auch an Leni und deren Eltern.",,
136,[B067,O,B,"Rosenzweig,  Franz","Frank, Gertrud",1904-09-29,,"I,1 Nr. 7 ...",,"Geb.Brf für Trudchen; auf Briefpapier von Adele; Ferien, Pläne und Gedanken",,
137,[B068,O,B,"Rosenzweig, Franz","Frank, Gertrud",1905-00-00,Kassel,,,Dat ÜbergL;Abiturjahr;Überlegg zum Studium. Wer bin ich als Med oder Schreiner?,,
138,[B069,O,BK,"Rosenzweig, Adele u. Fr.","Frank, Gertrud",1905-03-18,Kassel,,,"Gratulation von Adele zum Turnlehrerexamen (s. [G10,6) und Gruß von Franz.",,
139,[B070,O,B,"Rosenzweig,  Franz","Frank,  Gertrud",1905-04-03,Kassel,"I,1 Nr. 10",,Dat PostStp; Papier A.[dele]R.[osenzweig];z Schulende; zum Bild vom lieben Gott,,
140,[B071,O,B,"Rosenzweig,  Franz","Frank, G ertrud u Leni",1905-09-29,"Kassel, Ob.Königsstr 58II","I,1 Nr. 13 ...",,"Brf zu Rosh ha Shana an Trudchen, ab S. 3 Helene; Bild: Cover ""FR ... in Kassel""",,
141,[B072,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1908-01-01,"Kassel, Wilhelmsh.A. 22","I,1 Nr. 121 ...",,Brf u BK; Sylvesternacht 1907/1908,,
142,"[B073,01",O,PK,"Rosenzweig, Franz","Oppenheim, Gertrud",1908-12-15,Freiburg i. Br,,,Dat PostStp; eine Verabredung,,
