,Sender,Recipient,Date,Sender Location,Recipient Location,Archive,Rauner Item ID,Published,Copyright Holder,Comments
16,"Rosenzweig,  Franz","Frank, Gertrud",1901-09-29,[Kassel],,Kassel,,,,Geburtstagsbrief an die Cousine Trudchen; Es gibt Zeugnisse
17,"Rosenzweig,  Franz","Frank, Helene",1902-03-12,Kassel,,Kassel,,,,An die Cousine Leni zum 15.Geb; Fiktion: Helene zum 12. III. 1977
18,"Rosenzweig,  Franz","Frank, Gertrud u. Leni",1902-07-11,Scheveningen,,Kassel,,,,"Hotelpapier, Beschreibung des Kur- und Strandbetriebes"
19,"Rosenzweig,  Franz","Frank, Gertrud",1902-09-18,Coblenz a. Rh.,,Kassel,,,,von einem Ausflug an den Rhein
20,"Rosenzweig , Franz","Frank, Familie",1902-12-27,[Kassel],,Kassel,,,,"in GS nur Teil für Trudchen abgedruckt, Brief aber auch an Leni und deren Eltern."
21,"Rosenzweig, Franz","Reichenbach,  Martha",1903-10-05,Meiningen,,Kassel,,,,"ms-Transskript von [B6,1; hdf Vermerk: ""aus G. O.s Papieren""; s. GB S. 395"
22,"Rosenzweig, Franz","Reichenbach,  Martha",1903-10-05,Meiningen,,Kassel,,,,"1903-10-05 bis 1904 Gedichte, u.a. I,1 Nr.8 u. ""An Martha R.""; s. GB S. 395 u. 399"
23,"Rosenzweig,  Franz u.a.","Frank, Gertrud",1903-12-20,Kassel,,Kassel,,,,"Dat PostStp;Viele Unterschriften; oben rechts: ""Gruß Franz"". EmpfAdr:Kö.58 II:"
24,"Rosenzweig, Franz",Reichenbach. Martha,1904-08-11,,,Kassel,,,,"Verf/Adr ÜbergL(?) ; Gedichte 1904-08-11, 1904-08-27, 1904 -08-18; siehe[B6"
25,Franz Rosenzweig,Martha Reichenbach,1904-09-13,,,Kassel,,,,"inc.""Nacht deckt nun mit...Flügeln"" Rücks:ReForm Rosenzweig u Baumann;s.[B6,2"
26,"Rosenzweig,  Franz","Frank, Gertrud",1904-09-29,,,Kassel,,,,"Geb.Brf für Trudchen; auf Briefpapier von Adele; Ferien, Pläne und Gedanken"
27,"Rosenzweig,  Franz","Frank,  Gertrud",1904-12-30,,,Kassel,,,,"Empf: Trudchen, später GO;BrfPapier Adele R., Dat 30. 12. 04; Nachschrift 31. 12.;"
28,"Rosenzweig, Adele u. Fr.","Frank, Gertrud",1905-03-18,Kassel,,Kassel,,,,"Gratulation von Adele zum Turnlehrerexamen (s. [G10,6) und Gruß von Franz."
29,"Rosenzweig,  Franz","Frank,  Gertrud",1905-04-03,Kassel,,Kassel,,,,Dat PostStp; Papier A.[dele]R.[osenzweig];z Schulende; zum Bild vom lieben Gott
30,"Rosenzweig, Franz","Rosenzweig, Adele",1905-09-09,Vitznau-Vierwaldst.See,,Kassel,,,,"Gedicht.: Es war vor manchem Jahr und Tag...Vgl. [A25,1 und [C85"
31,"Rosenzweig,  Adele","Frank, Gertrud",1905-09-29,Kassel,,Kassel,,,,"Ort/Dat PostStp; Geb.gruß an GO,  geb. Frank von Adele und Onkel Georg"
32,"Rosenzweig,  Franz","Frank, G ertrud u Leni",1905-09-29,"Kassel, Ob.Königsstr 58II",,Kassel,,,,"Brf zu Rosh ha Shana an Trudchen, ab S. 3 Helene; Bild: Cover ""FR ... in Kassel"""
33,"Rosenzweig, Franz",,1905-12-14,,,Kassel,,,,Abschriften aus Tagebuchnotizen ab 14. 12. 1905 bis mindestens Ende 1922
34,"Rosenzweig, Franz",xxx,1907-01-05,,,Kassel,,,,"Aut:""aus einem Notizbuch FRs"";Geschichte Fam.Rosenzweig;""alles mdl.v.O.Adam"""
35,"Rosenzweig, Franz",xxx,1907-01-05,,,Kassel,,,,Familiengeschichte-Abschrift aus einem Notizbuch FR's -Dat? vgl ÜbergL
36,"Rosenzweig,  Franz","Oppenheim, Gertrud",1908-01-01,"Kassel, Wilhelmsh.A. 22",,Kassel,,,,Brf u BK; Sylvesternacht 1907/1908
37,Landesrabbinat Kassel,"Rosenzweig, Adam betr.",1908-02-27,,,Kassel,,,,"An der Bahre v Adam Rosenzweig, gest. 27.2.1908"
38,"Rosenzweig, Franz","Oppenheim, Gertrud",1908-12-15,Freiburg i. Br,,Kassel,,,,Dat PostStp; eine Verabredung
39,"Rosenzweig, Franz","Badt, Hermann",1909-04-23,,,Kassel,,,,"Dat hdf auf Brf; GS abw.;  Kondolenz zum Tod von Badts Vater mit Anrede ""Du""."
40,"Rosenzweig, Franz","Badt, Hermann",1909-07-12,Freiburg i. Br,,Kassel,,,,Dat hdf; Münsterplatz 17; zu H. Badts Familie; Studien u. jüd. Leben
41,Universität Freiburg,"Rosenzweig, FR betr",1910-10-17,Freiburg i. Br,,Kassel,,,,Studienbuch Wi Se 1908/09-SoSe 1910; Studienbescheinigung
42,"Ehrenberg, Hans","Ehrenberg, Rudolf",1910-11-19,"Dat.unleserlich, hdf 1910",,Kassel,,,,Ort: HD. Geburtstagsgruß; Frage nach Franz u.a.; Zusatz von Philipp E.
43,"Ehrenberg,  Hans","Ehrenberg,  Rudolf",1910-11-25,,,Kassel,,,,über Rudis (Rudof Ehrenber g) dichterisches Schaffen; mangelnder Kontakt
44,"Rosenzweig,  Franz","Oppenheim, Louis",1911-04-11,"Berlin-Nw, SchiffbauerD",,Kassel,,,,"Dat PostStp; FR kommt nach Kassel, möchte aber bei Oppenheims wohnen."
45,"Rosenzweig, Franz","Oppenheim, Gertrud",1911-04-28,Berlin,,Kassel,,,,Dat PostStp; Trudchen möchte bitte Wäsche schicken
46,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-12,Heidelberg,,Kassel,,,,"Ort: hdf auf Abs.ms; zu einem Theaterstück, das Rudi schreibt."
47,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-19,Heidelberg,,Kassel,,,,Dat: Jahr hdf; zu Rudis Theaterstück; Religion und Volk; Kasseler Familie
48,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-21,Heidelberg,,Kassel,,,,"zu Rudis Theaterstück; Religionsstifter, Kultusleiter, Volk u Religion"
49,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-22,,,Kassel,,,,"Jahr hdf auf Abs.ms; zu Rudis Theaterstück, Darstellung der Volksszenen"
50,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-26,,,Kassel,,,,"Jahr hdf auf Abs.ms; zu Rudis Theaterstück, Szene der Erzengel"
51,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-08-01,o. O.,,Kassel,,,,"Dat hdf, aus Korr. angenähert ([G2,3);"
52,"Rosenzweig, Franz","Oppenheim, Gertrud",1911-09-28,Berlin,,Kassel,,,,"Empf:Couvert; zu ""DER HELD"" und zum Fortgang der  Hegel-Dissertation"
53,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-11-12,Berlin,,Kassel,,,,Dat PostStp; Umschlag gesiegelt; noch zu Rudis Drama; Kritikerecho.
54,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-12-01,Berlin,,Kassel,,,,Dat PostStp;zu Rudis Thaterstück; wie es beim Theater angen. werden könnte.
55,"Rosenzweig, Franz","Ehrenberg, Rudolf",1912-05-05,Berlin,,Kassel,,,,Empf Couv; Ort PostStp; zu Freund Philipp; zu einer Wanderung; zum schrb. m. ms!
56,"Ehrenberg, Julie","Ehrenberg,  Kurt u.a.",1912-06-11,Kassel - Wilhelmshöhe,,Kassel,,,,dankt den Enkeln f Brf z. 85. Geb.;Otto Ehrenberg verfügt Rundsendung an alle.
57,"Rosenzweig,  Franz","Oppenheim, Louis u. G.",1912-09-19,Heidelberg,,Kassel,,,,"Dat PostStp; kommt n KS; wohnt z Hse, möchte aber Mahlzeiten bei Oppenheims"
58,"Hahn, Ilse/Rudolf/Edith","Rosenzweig, Franz",1912-09-22,Berlin,,Kassel,,,,Gratulationen zum Dr.Examen.
59,"Rosenzweig, Franz","Ehrenberg, Rudolf",1912-11-22,Darmstadt,,Kassel,,,,"Ort PostStp; s. GS I,1 zu Nr. 192; zu Rudis Plan f neues Stück"
60,N. N.,"Ehrenberg, Victor, jun",1912-12-12,Kassel,,Kassel,,,,"Absd: Schrift = [G12,2 S.1;zum Abschied von Victor E.  jun. aus d. Elternhs. Fragm"
61,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-02-25,"Leipzig, Rathausring 13",,Kassel,,,,"Ort PostStp, Absd+Brf; zu einem Herrn Baum (Max  Born ?), den Rudis Schw. liebt."
62,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-02-25,Leipzig,,Kassel,,,,"Dat hdf; geschl. aus Text; Bezug [G4,1. Inhalt s. dort."
63,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-02-27,Leipzig,,Kassel,,,,"zu Herrn Baum; Max Born? s. Biogr. ""Max Born"", SpectrumVlg 2006; S. 60/61"
64,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-03-24,Berlin,,Kassel,,,,Absd: ohne U.;hd FR; zur Verlobung von Hans Ehrenberg; zur Bdeutung d. Ehe.
65,"Rosenzweig, Franz","Oppenheim, Louis",1913-03-26,Berlin,,Kassel,,,,Dat PostStp; will nicht - zu einem Polterabend - in Kassel sein
66,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-04-12,Berlin,,Kassel,,,,"Dat./Ort PostStp;3 Brfe,div.Absd betr. Ablehng 2er Stcke v. Rudi im Lpzger Stadtth"
67,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-04-22,Berlin,,Kassel,,,,Dat/Ort PostStp; Plan f. Weg an der Werra vor Pfingsgten; zu Hans
68,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-05-12,Kassel,,Kassel,,,,"Dat PostStp; keine Anrede, keine U; Szenenbeschreibung zu einem Theaterstück"
69,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1913-07-15,Leipzig,,Kassel,,,,Dat: PosStp.;FR macht sich Sorge um Rudis Gesundheit
70,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1913-11-03,Göttingen,,Kassel,,,,"Antw auf 31.10.1913 ""Ich bleibe also Jude."",GSI,1 Nr. 198; dazu [E4=GS I,1Nr.199"
71,"Rosenzweig, F ranz","Ehrenberg, Rudolf",1913-11-04,,,Kassel,,,,"Dat Brf: 4.XI.[13]; Antwort auf Antwort zu Nr. 198: ""zu allem ... nur Ja ... sagen"""
72,"Rosenzweig, Georg","Rosenzweig, Franz",1913-12-18,,,Kassel,,,,Dat in ÜbergL abw: 19. 12. 1927
73,"Rosenzweig, Adele u.a.","Rosenzweig,  Franz",1913-12-23,Oberstdorf i. Allg.,,Kassel,,,,"Geburtstagsbrief an FR aus Oberstorf; Absd: Adele, Tante Henny, Edith"
74,"Rosenzweig, Georg","Rosenzweig, Franz",1913-12-24,Oberstorf i. Allgäu,,Kassel,,,,1913-12-24 - die 23 ist mit 24 überschrieben.
75,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-12-27,"Dat.hdf, Berlin",,Kassel,,,,"zu einem Buch (Autor?Cohen?) über Hegel; zu Rel. und Phil.; s. GS I,1 Nr. 205"
76,"Rosenzweig, Franz","Ehrenberg, Rudolf",1914-02-08,Berlin,,Kassel,,,,"Umschlag für [R7; auf Umschlag hd. Rudolf Ehrenberg: ""Über meine Verlobtheit"""
77,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1914-02-08,Berlin,,Kassel,,,,Dat a.E.; zur (relig) Rolle der Frau in der Ehe; zu Seminar bei Cohen.
78,"Rosenzweig, Franz","Rosenstock, Eugen",1914-03-01,"unknown, unknown","unknown, unknown",ERHF Digital Archive,MS522-82-1-0001,,nan,
79,"Ehrenberg, Hans u.Else","Ehrenberg, Rudolf u.Hans",1914-03-05,Heidelberg,,Kassel,,,,"PostStp 6.3.14; Adr: Paris Hotel Wagram; hdf auf Couvert: ""in Flitterwochen"""
80,"Rosenzweig, Adele","Rosenzweig,  Franz",1914-04-02,"Kassel, Terrasse 1",,Kassel,,,,"über Hermann Badt, Freund von FR"
81,"Rosenzweig, Franz","Rosenstock, Eugen",1914-05-16,"Berlin, Germany","Leipzig, Germany",ERHF Digital Archive,MS522-82-1-0009,,nan,
82,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1914-06-04,"Berlin, Kgin-Aug.Str. 24",,Kassel,,,,"Dat,Absd/Empf:Couvert;z.Hegel;von der Harzwandrg;vgl. [B44 u ""Keimzelle"" [B42"
83,"Rosenzweig, Franz","Ehrenberg, Rudolf",1914-06-06,Berlin,,Kassel,,,,zur geplanten Harzwanderung; zur Arbeit am Hegel
84,"Rosenzweig, Franz","Rosenstock, Eugen",1914-08-01,"unknown, unknown","unknown, unknown",ERHF Digital Archive,MS522-82-1-0011,,nan,
85,Rotes Kreuz,"Rosenzweig, FR betr.",1914-09-09,Berlin,,Kassel,,,,Beschngg GenSchaft frw. Krkenpfleger ü Mitglschaft zu Befrg vom Landsturm
86,"Rosenzweig, Georg","Rosenzweig, Franz",1914-11-14,,,Kassel,,,,"""Rechtzeitig vor dem Abmarsch ..."""
87,"Rosenzweig, Georg","Rosenzweig,  Franz",1914-11-14,,,Kassel,,,,"""Rechtzeitig vor dem Abmarsch""; Original in [A01,3"
88,"Rosenzweig, Adele","Rosenzweig,  Franz",1915-04-07,Kassel (Cassel),,Kassel,,,,Absd: Mutter; Familienkunde
89,"Rosenzweig, Adele","Rosenzweig,  Franz",1915-04-07,Kassel,,Kassel,,,,"[A 7,2 ist Abs.ms von [A 7,1; Familienkunde, z.B. ü. Philipp Ehrenberg u.a."
90,"Cohen, Hermann","Rosenzweig, Franz",1915-11-25,"Marburg, Hotel Pfeiffer",,Kassel,,,,"""..Wissen Sie denn gar nicht, daß ich alle 14 Tage in Marburg bin .."" sonst Berlin"
91,Jüd. Gemeinde Berlin,"Hahn, Edith",1916-05-03,Berlin,,Kassel,,,,"Mittlung, dass Antrag auf Vormerkung zur Aufnahme in Schuldienst eingegangen"
92,"Rosenzweig, Franz","Oppenheim, Gertrud",1916-08-31,Feldpost,,Kassel,,,,Dat:Brf i.V.m.PostStp;div. Daten zw. Mai u. Sept.1916; besd. 29.8! zu Frauentypen
93,"Rosenzweig,  Franz","Oppenheim, Gertrud",1916-11-13,,,Kassel,,,,Dat:GS u. div. im Brf 13.11.1916 - 11.1.1917; zu Tycho Brahe; zu jüdische Kunst ...
94,"Rosenzweig, Adele","Rosenzweig,  Franz",1916-12-18,,,Kassel,,,,zum Geburtstag ins Feld; ihre tiefe Verbundenheit; Familiäres u. Organisatorisches
95,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1916-12-24,Feldpost,,Kassel,,,,Seite 1 abgerissen; Dat GS: 1916-12-24 und 1916 -12-25
96,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1917-01-27,Feldpost; Dat. in Brief,,Kassel,,,,"PostStp aus Nachsendgen an Rudi; zu einem Buch v.  Ricarda Huch -""Luther""?"
97,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-02-05,Feldpost,,Kassel,,,,"Dat:Brf i.V.m. PostStp; zu Zeit u Ewigkeit;""Parallelen schneiden sich im Unendl. .."""
98,"Rosenzweig, Adele","Rosenzweig,  Franz",1917-02-12,Kassel,,Kassel,,,,"Abs.ms; Orig [G14,1; zum ""Putzianum"" s. GS III, S. 371; s.dort Anm S. 851;z.Fam."
99,"Rosenzweig,  Adele","Rosenzweig,  Franz",1917-02-12,,,Kassel,,,,Siehe [A08; zum 'Putzianum' und Julie von Kestner; Familienchronik
100,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1917-02-23,Feldpost,,Kassel,,,,"Dat BrfBeginn; Ende:26.II.17;PostStp:27.02.17; zur Huch und ""Oekumene"", s. GSIII"
101,"Cohen, Hermann","Rosenzweig, Adele",1917-04-12,Baden-Baden,,Kassel,,,,"Lob auf Franz u. seine Schrift [""Zeit ist's ""]; Mitteilung einer Sehstörung, s. [G14,2"
102,"Rosenzweig,  Adele","Rosenzweig,  Franz",1917-04-13,Kassel,,Kassel,,,,"Abschr an FR von [C90,10, H. Cohen, 12. 4. 1917, aus Bd-Bd.an Adele;Kommentar"
103,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-05-01,Feldpost,,Kassel,,,,Dat:Brf i.V.m. PostStp; zu Oekumene
104,Jüd Gemeinde Berlin,"Hahn,  Edith",1917-05-02,Berlin,,Kassel,,,,Jd. Gemeinde hat Edith als Vertretungslehrerin vorgeschlagen u. bittet um Kontakt
105,Zar der Bulgaren,"Rosenzweig, FR betr",1917-05-02,,,Kassel,,,,vorläufige Urkunde zur Verleihung des Tapferkeitsordens IV. Klasse
106,"Cohen, Hermann","Rosenzweig, Adele",1917-05-08,Berlin,,Kassel,,,,"Dank an Adele für Weiterleitung eines Brfs v FR und zu Veröff:""Zeit ist's""?"
107,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-05-30,"FeldP. S.auch I,1 Nr. 419",,Kassel,,,,"Dat:GS u Brf S1;weiter 31.5.:PostStp[19]17-06-05;vom Ziel (Gesch.,Welt);s.a.[B85"
108,"Rosenzweig, Franz","Ehrenberg, Rudolf",1917-07-09,Feldpost,,Kassel,,,,zu Hans E.;Begegnungen im  Heimaturlaub; Gott schauen? Hören!
109,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1917-07-09,Feldpost,,Kassel,,,,"Dat PostStp; Briefchen, visitenkartengroß: ""Du bist dran..."""
110,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-08-02,"FeldP. S.auch I,1 Nr. 408",,Kassel,,,,"Dat:GS, s.ab Brf a.E.;Zum Glauben und Zweifeln. zu Ja-Nein-Situationen;s.a.[B94"
111,"Rosenzweig,  Franz","Oppenheim, Gertrud",1917-08-13,Feldpost,,Kassel,,,,"Dat:Brf;ÜbergL 14.08.17 u.Absd; Gedicht v E.Rosenstock z Sicherung,s.[C106,4;"
112,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-08-21,Feldpost,,Kassel,,,,"Dat:GS; Forts: 27. 08. 1917; PostStp 30. 08. 1917 - zum Namen ""Franz"" u. Lektüre"
113,"Rosenzweig, Franz","Rosenstock, Eugen",1917-08-25,Feldpost,,Kassel,,,,PostStp 28. 08. 17; zu einem Besuch von Jensen - der große Heide
114,"Cohen, Hermann","Rosenzweig, Adele",1917-09-01,Baden-Baden,,Kassel,,,,Verabredung Besuch
115,"Rosenzweig, Adele","Rosenzweig,  Franz",1917-09-06,"Kassel, Terrasse 1",,Kassel,,,,Abschr einer Karte von G. Lasson; z. Systemprgr. u. z. Verbreitung d. Putzianum
116,"Cohen, Hermann","Rosenzweig, Adele",1917-09-11,Marburg,,Kassel,,,,Verabredung Besuch genauer
117,"Cohen, Hermann u. Martha","Rosenzweig, Fam.",1917-09-19,Berlin,,Kassel,,,,inc.:Verehrte Freunde; Ehepaar Cohen war zu Besuch in Kassel - Dank
118,"Rosenzweig, Adele","Rosenzweig,  Franz",1917-09-26,Kassel,,Kassel,,,,"zu Hermann Cohen, der in Kassel zu Besuch gewesen war."
119,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-10-01,Feldpost,,Kassel,,,,"hd FR, Durchschrift; erste LehrhsGedanken; zum ""Putianum"";s. GS III S. 371 ff"
120,"Rosenzweig, Franz","Rosenstock-H. , Eugen",1917-10-02,Dat. in GS,,Kassel,,,,hist. Systematik zu Formen der Gewalt in Krieg u Frieden - Tabelle
121,"Cohen, Hermann","Rosenzweig, Adele",1917-10-09,Berlin,,Kassel,,,,"Zur Veröffentlichung von ""Zeit ist's"" ,  Bitte um Kartoffeln! u. Berichte von Franz"
122,"Rosenzweig, Franz","Rosenstock-H., Eugen",1917-10-18,,,Kassel,,,,"""was du an Augustin entdeckt hast."" Forts 19. 10.: mein Ich ensteht im Du"
123,"Rosenzweig,  Franz","Oppenheim, Gertrud",1917-10-24,Feldpost,,Kassel,,,,Dat:Brf u GS;zur Dostojewski-Lektüre; jüd Kder wissen nichts (mehr) von Iom Kipp.
124,"Rosenzweig, Franz","Ehrenberg, Rudolf",1917-11-18,,,Kassel,,,,"""Keimzelle Stern""; ""L.R. ... Dein F""; Siehe [G1,6; erste Gliederung an Rudi."
125,"Rosenzweig, Franz","Ehrenberg, Rudolf",1917-12-01,,,Kassel,,,,"Dat: Jahr 1917 hdf; zum Begriff ""System"" u. ""und""; zum Hegel"
126,Universität Freiburg,"Rosenzweig, FR betr",1917-12-11,Berlin,,Kassel,,,,ÜbergL: Zeugnis der Promotion;  Urkunde vermisst!
127,"Rosenzweig, Adele","Rosenzweig, Franz",1917-12-13,"Kassel, Terrasse 1",,Kassel,,,,"[A10,2 = 1,5 S. Abs.ms von [A 10,1"
128,"Rosenzweig, Adele","Rosenzweig, Franz",1917-12-13,"Kassel,  Terrasse 1",,Kassel,,,,"inc.: ""Lieber Kroesus"".. Genealogie. Informationen dazu v.O.Richard Ehrenberg"
129,"Cohen, Hermann u. Martha","Rosenzweig, Adele",1918-02-05,Berlin,,Kassel,,,,"ms Paus ohne U.; Dank für Butter, Käse und für Ber. v. Franz; wieder zu Kräften"
130,"Rosenzweig, Franz","Cohen, Hermann",1918-02-23,Briefpap: Terrasse 1,,Kassel,,,,"Dat hdf; Anm. zu einem Entwf.f.Satzg der Akademie, vgl. [E33 u. [G1,4"
131,"Rosenzweig, Franz","Cohen, Hermann",1918-02-23,"Kassel, Terrasse 1",,Kassel,,,,Doppel in [E 36; Anmerkungen zu einem Entwf. f.Satzg der Akademie; vgl. [E33
132,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-03-01,Dresden,,Kassel,,,,"Dat/Empf:Couvert; zum Paket mit der Schokolade; siehe [B78 u [G17,7; zur Krise"
133,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1918-03-01,,,Kassel,,,,"zur ""Schokoladengeschichte"", dem ""Hochklettern"" u. ""Auf Wiedersehen"";[B77/78"
134,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-03-11,,,Kassel,,,,"Dat/Abs:Couvert;im Brief:10.III.; vgl. [B77und [B78,2-5 - Weg aus der Lebenskrise"
135,"Rosenzweig, Adele","Rosenzweig,  Franz",1918-04-11,,,Kassel,,,,wie es nach Vater Georgs Tod geht; wer kondoliert; Abschr e Brfes von Rudi;
136,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1918-04-14,Feldpost,,Kassel,,,,"z. Tod v. H. Cohen; Verhältn zu Vater Georg; zu Fichte, Hegel, Schelling; s.[E36"
137,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-04-21,Feldpost,,Kassel,,,,"Dat: hdf; ""Schreib mir gelegentlich über Mutters Zustand ..."""
138,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1918-04-26,,,Kassel,,,,Dat:nach Tod von Vater Georg:1918; Brf:26.4. und 27. 04.. Über Adele u.Gritli
139,"Rosenzweig, Franz","Ehrenberg, Richard",1918-04-30,,,Kassel,,,,"ms, keine Unterschrift; vgl GS I,1 Nr. 520 - Bezug?"
140,"Cohen, Martha","Rosenzweig, Adele",1918-05-27,Berlin,,Kassel,,,,"Brief von Witwe zu Witwe: Georg war am 19. März 1918 gest., Cohen am 4. 4. 18"
141,"Rosenzweig, Franz","Rosenstock-H ., Eu. u Mar.",1918-06-26,bis 1919-01-11,,Kassel,,,,
142,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1918-06-28,Feld (geschl a. Inhalt),,Kassel,,,,"Jahr geschl. aus Zustd Mutter: Vater 1918 gest; s. auch ""Brfe"" 1935, Fn 1 S. 336"
143,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-07-24,,,Kassel,,,,zur Beziehung Eugen - Franz
144,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-10,,,Kassel,,,,wieder schreiben nach gewollter Abstinenz;für Mutter jemand ins Haus nehmen?
145,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-11,,,Kassel,,,,"zum ""Jetzt""; zu Mutter Adele; zu Hans; zum Verzicht aufs Briefschreiben"
146,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-08-13,Feldpost,,Kassel,,,,"Anschlus an [B93: ""Die Lagerlöf"" für Mutter zm Geburtstag"
147,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-13,,,Kassel,,,,"zur Zeitschrift ""Hochland"" (GB FN 1); 5 Seiten, In GB nur S. 4 Mitte - S. 5 oben"
148,,,1918-08-13,,,Kassel,,,,"nicht besetzt; jetzt [B91,1"
149,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-14,,,Kassel,,,,"""müde"" ist Franz von einem Brief der Mutter, die von einem Streit geschrb. hat."
